round,home,away
1,Arsenal,Coventry
1,Hull City,Man United
1,Everton,Crystal Palace
1,Ipswich,Sunderland
1,Nottingham Forest,Leeds
1,Brentford,Tottenham
1,Brighton,Aston Villa
1,Man City,Bournemouth
1,Newcastle,Liverpool
1,Fulham,Chelsea
2,Crystal Palace,Man City
2,Liverpool,Nottingham Forest
2,Bournemouth,Everton
2,Coventry,Hull City
2,Tottenham,Newcastle
2,Chelsea,Brighton
2,Leeds,Brentford
2,Sunderland,Fulham
2,Man United,Ipswich
2,Aston Villa,Arsenal
3,Ipswich,Liverpool
3,Newcastle,Bournemouth
3,Brentford,Sunderland
3,Brighton,Leeds
3,Fulham,Crystal Palace
3,Man City,Coventry
3,Nottingham Forest,Tottenham
3,Hull City,Aston Villa
3,Everton,Man United
3,Arsenal,Chelsea
4,Bournemouth,Brentford
4,Aston Villa,Nottingham Forest
4,Chelsea,Hull City
4,Crystal Palace,Ipswich
4,Liverpool,Fulham
4,Tottenham,Everton
4,Sunderland,Arsenal
4,Coventry,Brighton
4,Man United,Man City
4,Leeds,Newcastle
5,Brentford,Chelsea
5,Tottenham,Aston Villa
5,Brighton,Arsenal
5,Everton,Ipswich
5,Leeds,Crystal Palace
5,Man City,Sunderland
5,Newcastle,Hull City
5,Nottingham Forest,Coventry
5,Bournemouth,Liverpool
5,Fulham,Man United
6,Arsenal,Leeds
6,Aston Villa,Brentford
6,Chelsea,Bournemouth
6,Coventry,Newcastle
6,Crystal Palace,Nottingham Forest
6,Hull City,Everton
6,Ipswich,Fulham
6,Liverpool,Man City
6,Man United,Tottenham
6,Sunderland,Brighton
7,Bournemouth,Sunderland
7,Brentford,Liverpool
7,Brighton,Crystal Palace
7,Everton,Chelsea
7,Fulham,Hull City
7,Leeds,Man United
7,Man City,Ipswich
7,Newcastle,Aston Villa
7,Nottingham Forest,Arsenal
7,Tottenham,Coventry
8,Arsenal,Everton
8,Aston Villa,Man City
8,Chelsea,Tottenham
8,Coventry,Fulham
8,Crystal Palace,Newcastle
8,Hull City,Brentford
8,Ipswich,Nottingham Forest
8,Liverpool,Brighton
8,Man United,Bournemouth
8,Sunderland,Leeds
9,Bournemouth,Leeds
9,Aston Villa,Fulham
9,Brentford,Nottingham Forest
9,Chelsea,Man United
9,Coventry,Sunderland
9,Hull City,Ipswich
9,Liverpool,Arsenal
9,Man City,Brighton
9,Newcastle,Everton
9,Tottenham,Crystal Palace
10,Arsenal,Hull City
10,Brighton,Brentford
10,Crystal Palace,Liverpool
10,Everton,Coventry
10,Fulham,Newcastle
10,Ipswich,Bournemouth
10,Leeds,Tottenham
10,Man United,Aston Villa
10,Nottingham Forest,Man City
10,Sunderland,Chelsea
11,Bournemouth,Nottingham Forest
11,Aston Villa,Sunderland
11,Brentford,Everton
11,Chelsea,Leeds
11,Coventry,Crystal Palace
11,Hull City,Brighton
11,Liverpool,Man United
11,Man City,Fulham
11,Newcastle,Arsenal
11,Tottenham,Ipswich
12,Arsenal,Man City
12,Brighton,Newcastle
12,Crystal Palace,Hull City
12,Everton,Liverpool
12,Fulham,Bournemouth
12,Ipswich,Aston Villa
12,Leeds,Coventry
12,Man United,Brentford
12,Nottingham Forest,Chelsea
12,Sunderland,Tottenham
13,Bournemouth,Brighton
13,Aston Villa,Everton
13,Brentford,Arsenal
13,Chelsea,Crystal Palace
13,Coventry,Ipswich
13,Hull City,Nottingham Forest
13,Liverpool,Sunderland
13,Man City,Leeds
13,Newcastle,Man United
13,Tottenham,Fulham
14,Bournemouth,Hull City
14,Aston Villa,Crystal Palace
14,Brentford,Man City
14,Chelsea,Liverpool
14,Everton,Fulham
14,Leeds,Ipswich
14,Man United,Coventry
14,Newcastle,Sunderland
14,Nottingham Forest,Brighton
14,Tottenham,Arsenal
15,Arsenal,Bournemouth
15,Brighton,Everton
15,Coventry,Aston Villa
15,Crystal Palace,Man United
15,Fulham,Brentford
15,Hull City,Tottenham
15,Ipswich,Newcastle
15,Liverpool,Leeds
